year,month,ramadan_days,eid_fitr_days,eid_adha_days,ramadan_start_date,ramadan_end_date,eid_fitr_date,eid_adha_date,is_ramadan_month,is_eid_month
2020,1,0,0,0,2020-04-24,2020-05-23,2020-05-24,2020-08-02,False,False
2020,2,0,0,0,2020-04-24,2020-05-23,2020-05-24,2020-08-02,False,False
2020,3,0,0,0,2020-04-24,2020-05-23,2020-05-24,2020-08-02,False,False
2020,4,7,0,0,2020-04-24,2020-05-23,2020-05-24,2020-08-02,True,False
2020,5,23,3,0,2020-04-24,2020-05-23,2020-05-24,2020-08-02,True,True
2020,6,0,0,0,2020-04-24,2020-05-23,2020-05-24,2020-08-02,False,False
2020,7,0,0,0,2020-04-24,2020-05-23,2020-05-24,2020-08-02,False,False
2020,8,0,0,4,2020-04-24,2020-05-23,2020-05-24,2020-08-02,False,True
2020,9,0,0,0,2020-04-24,2020-05-23,2020-05-24,2020-08-02,False,False
2020,10,0,0,0,2020-04-24,2020-05-23,2020-05-24,2020-08-02,False,False
2020,11,0,0,0,2020-04-24,2020-05-23,2020-05-24,2020-08-02,False,False
2020,12,0,0,0,2020-04-24,2020-05-23,2020-05-24,2020-08-02,False,False
2021,1,0,0,0,2021-04-13,2021-05-12,2021-05-13,2021-07-22,False,False
2021,2,0,0,0,2021-04-13,2021-05-12,2021-05-13,2021-07-22,False,False
2021,3,0,0,0,2021-04-13,2021-05-12,2021-05-13,2021-07-22,False,False
2021,4,18,0,0,2021-04-13,2021-05-12,2021-05-13,2021-07-22,True,False
2021,5,12,3,0,2021-04-13,2021-05-12,2021-05-13,2021-07-22,True,True
2021,6,0,0,0,2021-04-13,2021-05-12,2021-05-13,2021-07-22,False,False
2021,7,0,0,4,2021-04-13,2021-05-12,2021-05-13,2021-07-22,False,True
2021,8,0,0,0,2021-04-13,2021-05-12,2021-05-13,2021-07-22,False,False
2021,9,0,0,0,2021-04-13,2021-05-12,2021-05-13,2021-07-22,False,False
2021,10,0,0,0,2021-04-13,2021-05-12,2021-05-13,2021-07-22,False,False
2021,11,0,0,0,2021-04-13,2021-05-12,2021-05-13,2021-07-22,False,False
2021,12,0,0,0,2021-04-13,2021-05-12,2021-05-13,2021-07-22,False,False
2022,1,0,0,0,2022-04-02,2022-05-01,2022-05-02,2022-07-11,False,False
2022,2,0,0,0,2022-04-02,2022-05-01,2022-05-02,2022-07-11,False,False
2022,3,0,0,0,2022-04-02,2022-05-01,2022-05-02,2022-07-11,False,False
2022,4,29,0,0,2022-04-02,2022-05-01,2022-05-02,2022-07-11,True,False
2022,5,1,3,0,2022-04-02,2022-05-01,2022-05-02,2022-07-11,True,True
2022,6,0,0,0,2022-04-02,2022-05-01,2022-05-02,2022-07-11,False,False
2022,7,0,0,4,2022-04-02,2022-05-01,2022-05-02,2022-07-11,False,True
2022,8,0,0,0,2022-04-02,2022-05-01,2022-05-02,2022-07-11,False,False
2022,9,0,0,0,2022-04-02,2022-05-01,2022-05-02,2022-07-11,False,False
2022,10,0,0,0,2022-04-02,2022-05-01,2022-05-02,2022-07-11,False,False
2022,11,0,0,0,2022-04-02,2022-05-01,2022-05-02,2022-07-11,False,False
2022,12,0,0,0,2022-04-02,2022-05-01,2022-05-02,2022-07-11,False,False
2023,1,0,0,0,2023-03-22,2023-04-20,2023-04-21,2023-06-30,False,False
2023,2,0,0,0,2023-03-22,2023-04-20,2023-04-21,2023-06-30,False,False
2023,3,10,0,0,2023-03-22,2023-04-20,2023-04-21,2023-06-30,True,False
2023,4,20,3,0,2023-03-22,2023-04-20,2023-04-21,2023-06-30,True,True
2023,5,0,0,0,2023-03-22,2023-04-20,2023-04-21,2023-06-30,False,False
2023,6,0,0,1,2023-03-22,2023-04-20,2023-04-21,2023-06-30,False,True
2023,7,0,0,3,2023-03-22,2023-04-20,2023-04-21,2023-06-30,False,True
2023,8,0,0,0,2023-03-22,2023-04-20,2023-04-21,2023-06-30,False,False
2023,9,0,0,0,2023-03-22,2023-04-20,2023-04-21,2023-06-30,False,False
2023,10,0,0,0,2023-03-22,2023-04-20,2023-04-21,2023-06-30,False,False
2023,11,0,0,0,2023-03-22,2023-04-20,2023-04-21,2023-06-30,False,False
2023,12,0,0,0,2023-03-22,2023-04-20,2023-04-21,2023-06-30,False,False
2024,1,0,0,0,2024-03-11,2024-04-09,2024-04-10,2024-06-19,False,False
2024,2,0,0,0,2024-03-11,2024-04-09,2024-04-10,2024-06-19,False,False
2024,3,21,0,0,2024-03-11,2024-04-09,2024-04-10,2024-06-19,True,False
2024,4,9,3,0,2024-03-11,2024-04-09,2024-04-10,2024-06-19,True,True
2024,5,0,0,0,2024-03-11,2024-04-09,2024-04-10,2024-06-19,False,False
2024,6,0,0,4,2024-03-11,2024-04-09,2024-04-10,2024-06-19,False,True
2024,7,0,0,0,2024-03-11,2024-04-09,2024-04-10,2024-06-19,False,False
2024,8,0,0,0,2024-03-11,2024-04-09,2024-04-10,2024-06-19,False,False
2024,9,0,0,0,2024-03-11,2024-04-09,2024-04-10,2024-06-19,False,False
2024,10,0,0,0,2024-03-11,2024-04-09,2024-04-10,2024-06-19,False,False
2024,11,0,0,0,2024-03-11,2024-04-09,2024-04-10,2024-06-19,False,False
2024,12,0,0,0,2024-03-11,2024-04-09,2024-04-10,2024-06-19,False,False
2025,1,0,0,0,2025-02-28,2025-03-29,2025-03-30,2025-06-08,False,False
2025,2,1,0,0,2025-02-28,2025-03-29,2025-03-30,2025-06-08,True,False
2025,3,29,2,0,2025-02-28,2025-03-29,2025-03-30,2025-06-08,True,True
2025,4,0,1,0,2025-02-28,2025-03-29,2025-03-30,2025-06-08,False,True
2025,5,0,0,0,2025-02-28,2025-03-29,2025-03-30,2025-06-08,False,False
2025,6,0,0,4,2025-02-28,2025-03-29,2025-03-30,2025-06-08,False,True
2025,7,0,0,0,2025-02-28,2025-03-29,2025-03-30,2025-06-08,False,False
2025,8,0,0,0,2025-02-28,2025-03-29,2025-03-30,2025-06-08,False,False
2025,9,0,0,0,2025-02-28,2025-03-29,2025-03-30,2025-06-08,False,False
2025,10,0,0,0,2025-02-28,2025-03-29,2025-03-30,2025-06-08,False,False
2025,11,0,0,0,2025-02-28,2025-03-29,2025-03-30,2025-06-08,False,False
2025,12,0,0,0,2025-02-28,2025-03-29,2025-03-30,2025-06-08,False,False
